"nome","resumo","coordenador"
"BIOESTATÍSTICA - MONITORIA FFP/UERJ - 2023","Em breve este conteúdo estará disponível.","Antonio Alexandre Lima "
"ESTATÍSTICA (GEO) - MONITORIA FFP/UERJ - 2023","Em breve este conteúdo estará disponível.","Antonio Alexandre Lima "
"RENOVAÇÃO DA MONITORIA EM BIOESTATÍSTICA FFP/UERJ - 2024/25","Em breve este conteúdo estará disponível.","Antonio Alexandre Lima "
"RENOVAÇÃO DA MONITORIA EM ESTATÍSTICA (GEO) FFP/UERJ - 2024/25","Em breve este conteúdo estará disponível.","Antonio Alexandre Lima "
"PROJETO DE MONITORIA ANÁLISE ESTATÍSTICA I – IME-05-00122","Em breve este conteúdo estará disponível.","Fernanda Da Serra Costa "
"INTRODUÇÃO AOS MÉTODOS DE INTELIGÊNCIA ARTIFICIAL AOS ALUNOS DA GRADUAÇÃO","Em breve este conteúdo estará disponível.","Marcello Montillo Provenza "
